,agressivite,visibilite,hstag,hstagmoyenTweet,longMoyen,frequenceFollowers,frequenceMention,frequenceAmi,refermoyenTweet,retweet,reply,Nombreurl,frenquenTweet,frequenceFavourite,,label
121,0,0.082857143,1,1,117,-2.20E-06,-9.73E-08,0,0,0,0,0,0,-6.17E-06,,1
122,0.005714286,0.082857143,2,1,99,-2.95E-05,-2.23E-06,0,0,0,0,2,-7.28E-09,-1.08E-04,,1
123,0,0.082857143,1,1,107,-9.86E-05,-8.05E-06,0,0,0,0,0,0,-1.30E-04,,1
124,0,0.081428571,0,0,97,-1.01E-05,-9.10E-07,0,1,0,0,1,0,-2.03E-04,,1
125,0.034285714,0.614285714,5,2.5,139.5,-7.86E-06,-1.09E-06,-3.35E-09,2.5,0,0,0,-3.69E-08,-1.88E-05,,1
126,0,0.164285714,1,1,140,-9.58E-05,-3.05E-06,0,1,0,0,1,0,-1.42E-05,,1
127,0,0.081428571,0,0,140,-2.37E-06,-3.51E-07,0,1,0,0,0,0,-1.98E-05,,1
128,0.042857143,0,0,0,26,-4.95E-06,-3.74E-07,0,0,0,0,2,-9.06E-08,-1.71E-04,,1
129,0,0.165714286,2,2,140,-1.87E-05,-8.53E-07,0,0,0,0,1,0,-3.14E-05,,1
130,0.002857143,0.082857143,2,1,79,-8.29E-06,-1.36E-07,0,0,0,0,1,-1.36E-07,-3.67E-05,,1
131,0.134285714,0.149142857,9,1.8,90.8,-1.47E-05,-6.15E-07,-6.09E-09,0,0,0,1,-2.80E-07,-3.05E-05,,-1
132,0,0.164285714,1,1,140,-8.99E-06,-6.99E-07,0,1,0,0,0,0,-4.65E-05,,1
133,0.005714286,0.124285714,3,1.5,139,-9.31E-06,-6.78E-07,0,0,0,0,1,-1.22E-08,-1.16E-05,,1
134,0,0,0,0,81,-5.79E-04,-2.50E-05,0,0,0,0,1,0,-6.92E-05,,1
135,0,0.082857143,1,1,55,-7.08E-05,-2.52E-06,0,0,0,0,0,0,-5.92E-05,,1
136,0.005714286,0.612857143,3,1.5,122.5,-2.66E-05,-2.28E-06,0,3,0,0,2,-6.97E-09,-2.28E-05,,1
137,0.388571429,0.328571429,4,2,129,-1.32E-05,-2.07E-06,-6.20E-09,1,0,0,1,-8.37E-07,-5.12E-06,,-1
138,0,0.33,3,3,140,-4.74E-06,-4.34E-07,0,1,0,0,0,0,-1.08E-04,,1
139,0,0.164285714,1,1,90,-8.29E-07,-6.58E-08,0,1,0,0,1,0,-1.03E-05,,1
140,0.005714286,0.708095238,5,1.666666667,114.6666667,-2.35E-06,-3.41E-07,0,2.333333333,0,0,3,-7.66E-09,-5.78E-07,,1
141,0,0.327142857,1,1,112,-8.26E-05,-8.86E-06,0,3,0,0,0,0,-7.09E-04,,1
142,0.014285714,0.245714286,2,1,128,-2.57E-06,-1.39E-07,-7.29E-09,1,0,0,0,-1.09E-08,-4.49E-06,,1
143,0.131428571,1.996390977,47,2.473684211,138.4210526,-3.43E-06,-5.11E-07,0,1.157894737,0,0,15,-1.81E-07,-6.42E-06,,-1
144,0.282857143,0.327142857,3,1,115.3333333,-2.49E-05,-9.84E-07,-6.35E-09,1,0,0,1,-6.22E-07,-3.83E-05,,1
145,0.057142857,0.64244898,13,1.857142857,120,-4.37E-06,-2.84E-07,-5.57E-09,0.857142857,0,0,3,-1.06E-07,-1.12E-05,,1
146,0,0,0,0,47,-9.13E-06,-4.16E-07,0,0,0,0,2,0,-3.45E-04,,1
147,0,0.082857143,1,1,119,-6.65E-05,-2.52E-06,0,0,0,0,1,0,-2.83E-06,,1
148,0,0.41,2,2,140,-5.69E-06,-2.94E-07,0,3,0,0,0,0,-4.91E-06,,1
149,0.002857143,0.37,5,2.5,132.5,-2.41E-05,-1.85E-06,0,1,0,0,1,-1.19E-08,-1.66E-03,,1
150,0,0.082857143,1,1,39,-3.09E-06,-5.37E-08,0,0,0,0,0,0,-5.61E-07,,1
151,0,0.082857143,1,1,84,-2.76E-05,-1.33E-06,0,0,0,0,0,0,-2.08E-05,,1
152,0.088571429,0.558681319,11,0.846153846,61.76923077,-1.09E-05,-5.46E-07,0,0.461538462,0,0,4,-1.61E-07,-1.36E-05,,1
