 ,_id,userCreateDate,Maxfollowers,Minfollowers,retweet,reply,MaxAmi,MinAmi,MaxStatuses,MinStatuses,Maxfavourites,Minfavourites,Maxmention,Minmention,nombre_tweet,longTotalTweet,hstag,reference,Nombreurl,dateMax,dateMin,DateUser,statuses,friends,favourites,mention,followers,agressivite,frenquenTweet,frequenceAmi,longMoyen,frequenceFavourite,frequenceMention,frequenceFollowers,hstagmoyenTweet,refermoyenTweet,visibilite,label
255951,732894439883034624,Wed May 18 11:23:45 +0000 2016,172,172,0,0,232,232,897,897,740,740,0,0,1,140.0,0.0,1.0,0.0,1529228801000.0,1529228801000.0,1463570625000.0,0,0,0,0,0,0.0,1.3661664923497112e-08,3.533451797381639e-09,140.0,1.127049280199316e-08,0.0,2.619628056679491e-09,0.0,1.0,0.0814285714285714,1
255952,732894471474548737,Wed May 18 11:23:53 +0000 2016,239,239,0,0,185,185,6523,6523,34955,34955,4,4,1,84.0,0.0,1.0,1.0,1529232854000.0,1529232854000.0,1463570633000.0,0,0,0,0,0,0.0,9.934175086767168e-08,2.8174496260185893e-09,84.0,5.323456847431341e-07,6.09178297517533e-11,3.639840327667259e-09,0.0,1.0,0.0814285714285714,1
255953,732906238397304835,Wed May 18 12:10:38 +0000 2016,22,22,0,0,0,0,182,182,1,1,0,0,1,73.0,2.0,0.0,0.0,1529244030000.0,1529244030000.0,1463573438000.0,0,0,0,0,0,0.0,2.771407938579265e-09,0.0,73.0,1.522751614603992e-11,0.0,3.3500535521287824e-10,2.0,0.0,0.1657142857142857,1
255954,732909177220272130,Wed May 18 12:22:19 +0000 2016,1519,1519,0,0,1214,1214,1720,1720,374,374,40,40,1,139.0,0.0,0.0,1.0,1529237161000.0,1529237161000.0,1463574139000.0,0,0,0,0,0,0.0,2.619434725377093e-08,1.8488335794231343e-08,139.0,5.695747600529261e-09,6.091708663667656e-10,2.313326365027793e-08,0.0,0.0,0.0,1
255955,732910760997879808,Wed May 18 12:28:37 +0000 2016,1053,1051,0,0,2195,2195,1983,1978,1135,1132,56,56,2,273.0,6.0,2.0,1.0,1529243995000.0,1529233222000.0,1463574517000.0,5,0,3,0,2,0.0142857142857142,3.0196676757503694e-08,3.3424964943379026e-08,136.5,1.7283524014002366e-08,8.527553698538611e-10,1.603484650814493e-08,3.0,1.0,0.4114285714285713,1
255956,732914620537704448,Wed May 18 12:43:57 +0000 2016,1343,1343,0,0,330,330,20351,20351,144,144,8,8,1,140.0,0.0,1.0,0.0,1529240530000.0,1529240530000.0,1463575437000.0,0,0,0,0,0,0.0,3.099211326785146e-07,5.025501144116251e-09,140.0,2.192945953796182e-09,1.2183033076645455e-10,2.045226677741856e-08,0.0,1.0,0.0814285714285714,1
255957,732919706844332032,Wed May 18 13:04:10 +0000 2016,56,56,0,0,38,38,6119,6119,1240,1240,1,1,1,140.0,1.0,1.0,0.0,1529230394000.0,1529230394000.0,1463576650000.0,0,0,0,0,0,0.0,9.320108233279127e-08,5.787941050246884e-10,140.0,1.8886965532384567e-08,1.5231423816439164e-11,8.529597337205932e-10,1.0,1.0,0.1642857142857142,1
255958,732921562580520960,Wed May 18 13:11:32 +0000 2016,491,491,0,0,433,433,22563,22563,5557,5557,2,2,1,80.0,1.0,1.0,1.0,1529243268000.0,1529243268000.0,1463577092000.0,0,0,0,0,0,0.0,3.436015521902783e-07,6.593957900030603e-09,80.0,8.462499780709023e-08,3.0457080369656364e-11,7.477213230750638e-09,1.0,1.0,0.1642857142857142,1
255959,732925391409696770,Wed May 18 13:26:45 +0000 2016,1417,1417,0,0,227,227,11370,11370,10109,10109,4,4,1,80.0,1.0,1.0,1.0,1529251773000.0,1529251773000.0,1463578005000.0,0,0,0,0,0,0.0,1.7312848563828409e-07,3.4564790008698757e-09,80.0,1.5392751638675584e-07,6.090711895805947e-11,2.1576346890892573e-08,1.0,1.0,0.1642857142857142,1
255960,732926291205197824,Wed May 18 13:30:19 +0000 2016,86,86,0,0,115,115,26125,26125,787,787,5,5,1,68.0,1.0,1.0,1.0,1529244057000.0,1529244057000.0,1463578219000.0,0,0,0,0,0,0.0,3.978476601486454e-07,1.7512911355825534e-09,68.0,1.1984922814812781e-08,7.614309285141537e-11,1.3096611970443443e-09,1.0,1.0,0.1642857142857142,1
